subject,precision.pmt,precision.rg,recall.pmt,recall.rg,fmeasure.pmt,fmeasure.rg,auc.pmt,auc.rg
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\multi-thread-context.arff,0.986473682,0.285088348,0.986425339,0.533936652,0.986429246,0.371708111,0.991278591,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\nar-maven-plugin.arff,0.973873538,0.004716601,0.960230223,0.068677514,0.964094529,0.008826986,0.98671572,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\netty-in-action.arff,0.98150348,0.005510557,0.976687117,0.074233129,0.97799024,0.010259519,0.992715881,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\netty-tools.arff,0.926900988,0.083071086,0.914786967,0.288220551,0.917002451,0.128970286,0.955205144,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\obd-java-api.arff,0.903721189,0.210069444,0.883064516,0.458333333,0.882739187,0.288095238,0.942280404,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\parsii.arff,0.86379522,0.290256046,0.827389444,0.538754161,0.820199376,0.377261103,0.847715216,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\patricia-trie.arff,0.907446964,0.17798953,0.890142022,0.421888053,0.890784069,0.2503566,0.933115585,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\PauselessHashMap.arff,0.785290791,0.355000061,0.7514518,0.595818815,0.728046845,0.44491274,0.731289362,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\photon-core.arff,0.903903016,0.078904179,0.853932584,0.280898876,0.860747048,0.123201262,0.954375,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\pollexor.arff,0.988987168,0.077288614,0.988934993,0.278008299,0.988951763,0.120951662,0.997502907,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\proguard-maven-plugin.arff,0.984566851,0.002677694,0.978007762,0.051746442,0.979805908,0.005091901,0.992513643,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\protoparser.arff,0.979531659,0.22738935,0.978923598,0.476853594,0.978934181,0.307937566,0.987048656,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\pusher-websocket-java.arff,0.94799114,0.191981409,0.940986257,0.438156831,0.941212433,0.266982577,0.971330537,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\raml-java-parser.arff,0.917677961,0.284496619,0.903338225,0.533382245,0.901807789,0.37107071,0.924257637,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\redline-smalltalk.arff,0.883543277,0.109226063,0.843162953,0.330493665,0.847685934,0.164188775,0.918781006,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\redline.arff,0.890229455,0.092634043,0.836620404,0.304358412,0.842979416,0.142037713,0.898958701,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\RestFixture.arff,0.947475163,0.133122782,0.938886868,0.364859949,0.93969715,0.195071711,0.965924087,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\rome.arff,0.88418469,0.139900301,0.839311021,0.374032487,0.84175658,0.203634634,0.904612825,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\rtree.arff,0.874746943,0.431816068,0.867914144,0.657127133,0.861868945,0.521162269,0.85840876,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\SansOrm.arff,0.998803419,2.37E-06,0.994615385,0.001538462,0.996321392,4.73E-06,1,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\scribe-java.arff,0.933100967,0.086270975,0.917487685,0.293719212,0.919848093,0.133368933,0.964726138,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\scrypt.arff,0.901237062,0.66397991,0.905075188,0.814849624,0.898557951,0.731718927,0.866386806,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\skype-java-api.arff,0.985617149,0.007726439,0.983360463,0.087900163,0.983939537,0.014204316,0.993633558,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\sonar-objective-c.arff,0.952578781,0.055652651,0.945720251,0.235908142,0.947164388,0.090059527,0.978658905,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\spatial4j.arff,0.923459514,0.148688336,0.907278481,0.385601266,0.908447445,0.214619227,0.937919963,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\spr-mvc-hib.arff,0.970228091,0.001129864,0.739495798,0.033613445,0.822738991,0.00218624,0.895652174,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\spring-data-commons.arff,0.882939524,0.308477432,0.859770728,0.555407447,0.855155839,0.396651608,0.903325525,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\spring-data-envers.arff,0.987654321,0.428135955,0.987654321,0.654320988,0.987654321,0.517597199,0.982479784,0.5
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\spring-elasticsearch.arff,0.876340649,0.141330771,0.828947368,0.37593985,0.83138084,0.205431612,0.886995482,0.5
